1st,2nd,3rd,4th,5th,Placement_activity,Gender,college_code,Fields_of_Study,scholarship
5.64,5.68,7.28,7.47,4.89,C,Male,241,Environmental Science and Health,0.0
3.05,4.87,5.82,4.76,7.75,D,Male,241,Art,0.0
7.27,7.91,7.84,8.6,6.53,E,F,115,Economics,0.0
8.6,8.08,7.91,7.2,6.66,A,Male,116,Environmental Science and Health,0.0
5.81,5.45,5.36,4.6,8.19,C,Female,116,Public Relations and Administration,1488.27
8.55,6.19,4.18,3.68,5.94,E,M,116,Engineering,0.0
3.25,5.89,7.9,8.82,7.08,C,M,115,Economics,0.0
7.26,3.7,4.05,5.53,8.93,C,F,115,Economics,0.0
6.4,4.92,7.51,6.51,4.42,C,M,116,Economics,13073.27
7.76,5.25,3.49,4.51,6.58,B,Female,116,Engineering,0.0
4.1,3.29,8.33,5.46,4.23,D,Male,165,Economics,0.0
8.51,7.37,5.49,7.67,5.79,C,Female,165,Economics,0.0
5.25,4.29,4.04,7.86,5.84,C,F,116,Aeronautics and Aviation Science,0.0
3.52,4.79,6.27,4.04,9.04,A,Male,115,Economics,0.0
4.63,4.17,4.32,5.66,8.21,D,Male,115,Environmental Science and Health,3391.38
4.66,5.94,8.23,5.55,8.57,B,Male,115,Aeronautics and Aviation Science,3452.22
3.83,4.48,6.15,5.28,7.54,E,Female,241,Economics,0.0
6.61,3.96,8.11,4.88,5.74,C,F,241,Environmental Science and Health,4056.88
8.07,3.79,5.9,3.85,4.5,D,M,165,Aeronautics and Aviation Science,0.0
8.92,6.48,5.69,3.94,5.82,D,Female,115,Economics,0.0
5.86,3.76,6.27,4.55,9.34,E,Female,116,Environmental Science and Health,0.0
7.26,4.27,8.23,8.17,8.99,B,Female,165,Economics,0.0
7.71,7.04,7.76,3.71,7.88,C,Male,241,Aeronautics and Aviation Science,0.0
5.11,6.36,8.54,7.29,4.03,C,Male,116,Environmental Science and Health,0.0
8.27,5.89,6.16,8.63,7.58,D,M,165,Engineering,9000.51
8.86,7.32,5.69,5.62,6.68,B,M,241,Engineering,0.0
5.79,4.1,8.38,4.24,9.56,D,M,165,Economics,0.0
8.62,3.62,4.2,8.95,5.28,D,Female,165,Environmental Science and Health,0.0
4.43,4.96,6.95,8.14,4.79,B,Male,241,Environmental Science and Health,0.0
7.39,6.97,5.15,3.64,5.14,C,M,116,Environmental Science and Health,0.0
8.05,4.3,4.91,3.87,4.47,E,Female,116,Environmental Science and Health,8389.13
8.99,6.25,6.58,6.43,8.11,A,Male,165,Public Relations and Administration,0.0
5.98,6.51,5.95,7.46,6.6,D,Female,116,Public Relations and Administration,0.0
7.64,3.55,5.41,8.37,6.35,A,F,165,Art,0.0
4.05,7.19,5.47,4.3,7.82,D,F,116,Engineering,0.0
5.02,5.53,8.43,5.65,5.51,D,M,165,Aeronautics and Aviation Science,6184.58
7.67,3.74,8.36,5.21,9.45,C,Male,116,Engineering,0.0
7.07,6.4,4.92,5.59,5.82,E,M,241,Public Relations and Administration,0.0
8.67,3.75,5.42,6.83,5.14,C,M,165,Public Relations and Administration,0.0
8.78,5.52,6.01,5.81,5.86,B,Female,241,Environmental Science and Health,0.0
4.55,6.56,4.18,7.97,4.13,C,M,115,Aeronautics and Aviation Science,500.42
6.29,6.01,3.96,7.03,6.91,D,Female,165,Environmental Science and Health,0.0
7.21,6.49,5.44,7.4,4.52,C,F,241,Economics,0.0
4.9,6.6,5.0,6.16,4.16,A,Female,165,Engineering,0.0
3.65,3.9,3.49,7.43,8.76,C,F,241,Engineering,490.63
5.46,5.59,6.35,6.45,8.39,E,Male,165,Engineering,0.0
3.54,5.41,3.94,3.69,6.92,C,M,165,Economics,3243.28
5.49,3.92,5.24,7.79,7.62,C,Male,116,Engineering,15052.48
3.59,7.46,4.94,4.99,9.4,D,M,115,Engineering,0.0
4.17,8.24,6.15,6.92,4.31,E,M,115,Engineering,0.0
8.26,6.47,5.21,5.35,5.63,B,M,241,Environmental Science and Health,0.0
3.47,5.49,7.55,6.0,6.35,B,Female,116,Art,0.0
4.78,7.38,4.29,8.99,8.53,B,Female,241,Public Relations and Administration,0.0
8.24,6.23,7.44,7.74,6.38,B,M,115,Economics,0.0
8.18,7.26,4.21,6.26,6.6,E,M,241,Environmental Science and Health,0.0
6.84,5.87,6.56,5.06,7.7,B,Female,116,Engineering,0.0
5.75,5.05,5.0,8.58,7.4,B,M,116,Economics,0.0
2.91,5.84,4.83,4.75,5.52,C,M,116,Engineering,0.0
8.5,3.65,3.86,9.02,8.37,C,Male,165,Engineering,0.0
4.14,7.52,7.4,7.28,7.62,D,M,241,Economics,0.0
4.14,4.93,3.61,4.35,8.35,D,F,241,Economics,0.0
3.16,7.76,7.05,3.61,7.24,D,Female,115,Engineering,0.0
3.0,3.29,3.84,4.03,4.27,B,M,115,Engineering,0.0
3.75,5.05,6.64,4.53,5.43,C,Male,241,Economics,2493.22
7.35,7.99,5.13,7.59,6.25,B,Male,165,Public Relations and Administration,0.0
6.25,5.4,6.8,5.62,4.96,B,F,115,Economics,10975.06
2.89,6.84,7.06,3.56,7.09,C,M,115,Environmental Science and Health,0.0
5.24,5.11,4.23,5.69,9.57,C,M,116,Public Relations and Administration,0.0
5.51,7.21,5.56,4.26,4.19,D,M,241,Economics,0.0
7.92,7.1,7.06,8.04,4.91,A,Female,115,Economics,0.0
8.78,4.77,5.9,8.76,4.81,C,Female,115,Economics,0.0
3.19,4.71,6.46,7.07,5.51,B,Female,116,Economics,0.0
5.28,8.03,4.05,8.71,7.04,C,F,241,Economics,0.0
2.94,6.76,7.61,5.38,6.82,C,F,241,Economics,0.0
3.25,5.36,5.26,6.38,5.42,D,F,241,Engineering,0.0
3.96,4.48,4.01,3.73,6.97,B,Female,115,Environmental Science and Health,0.0
8.31,4.28,6.27,3.99,8.84,C,M,165,Engineering,10822.58
